selected_text,sentiment
Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,3
Chilliin,5
"If you know such agent, do let me know",3
I still smell of smoke  #kitchenfire,3
better,5
"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",3
"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",3
she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,3
OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,3
BADDD.,1
My sources say no,3
I am sooo tired,1
"Hey, you change your twitter account, and you didn`t even tell me...",3
THANK YYYYYYYYYOOOOOOOOOOUUUUU!,5
lucky,5
fell asleep waiting for my ride!,3
Sick.,1
", sorry guys",1
Happy Star Wars day everyone! and Enjoy the holiday (UK),5
Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,3
"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",3
i miss you bby,1
cool,5
Love it there,5
_Mounce yes and it lasts way past my bedtime!,3
Hi  how are you doing ???  *just joined twitter...,3
tired,1
eating ice cream and then getting ready for graduation.,3
Happy Mothers day to all you Mums out there,5
freaked,1
unfortunately,1
Gonna read a story bout adam lambert online then bed. Nighty night,3
best,5
Pretty,5
"Certainly not Cheers than, huh?",3
"horrible,",1
busy,1
Awesome.,5
at least I get to watch over time  Let`s go Pens!!,3
cool i wear black most of the time when i go out,3
thanks,5
safe,5
I wish I was allowed to go,5
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me,3
has tickets.......?,3
"Thank you,",5
ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,3
I love my,5
I don`t feel confident,1
sad.,1
hahaa your awesomee !,5
awesomeeeee,5
"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",3
"I had it! On my itunes, but then I lost all my songs.",3
What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,3
Not looking forward,1
Poor you,1
not well,1
Not a prob,5
"at dads, watching some mtv and am going on sims2 in a minutee",3
Absolutely,3
what`s the matter chickadee?,3
y adore,5
good,5
I love him too,5
painful.,1
sad?,1
e nice,5
i wish,5
Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,3
"Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",3
Humous and Dorito`s.... Oh yes,3
"missed all the awesome weather,",1
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,3
terrible!,1
"Unfortunatley,",1
"That sucks, tho.",1
Hate fighting,1
"I watched that too!!! I didnt want her to win, but she put up a good fight..lol",3
Car-warmed Sprite tastes like sore throat,1
Just came 11th in cross country and beat dumbo,3
enjoyable.,5
endearing-,5
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,3
goooooddd morning tweets!!,5
hate,1
fine!,5
i don`t like the other ones.,1
Mmmmmmmm... ? it in the morning,3
me neither,3
"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",3
Bugger. forgot I still have washing in my machine,1
"sending love, blessings & healing thoughts to you & family  peace",5
.really bad,1
"ah yes, I know that feeling",3
Night of the cookers with my dad,3
brutal,1
Nope I am in Coquitlam,3
boring,1
p sounds like fun,5
Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,3
great,5
excited,5
good morning,5
its the best show EVER!,5
messed,1
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,3
I want to know when the auditions are Mander! Text or...reply please!,3
NOT THE SECRET NAMEREBECCA PLEASE,1
miss,1
i need to get my computer fixed,3
illness,1
"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",3
no sir...i woulda put honey...but i don`t have any,3
i totally loved it!,5
i <3 you. u helped me thru the hrdest time of my life!,5
sad,1
Finally got a call for marriage counseling 3 days late....,3
ok then,3
why baby?,3
sick!,1
We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,3
oww,1
happy 1 year! <3,5
Goooooooooooood Morrrrrrrrning,5
*phew*  Will make a note in case anyone else runs into the same issueÃ¯Â¿Â½,3
WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,1
This diet is killing me,1
i talk to you,3
bored..,1
e fun,5
"So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",3
What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,3
lost my voice,1
hate,1
I`ve heard this fall. I`m waiting too!,3
more nightmares?  *huggles*,3
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy,1
headache,1
happy,5
Grabbing coffee from  then making mom breakfast,3
going to have fun,5
thanks. before the major chop.,3
d thank you!,5
just got up and updated my ipod,3
HAHAHA,5
crush,5
Saw James carville in the store today. His head is really that bald,3
yellow for   ? http://blip.fm/~5z05g,3
which means you`re just going to have to come back to vancouver and have it our way! hahah,3
Feeling smooth,5
Ew traffic,1
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",3
your not alone...i need coffee too.,3
Sounds like me,3
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,3
I hate not having a bike..,1
_nesmith,3
This is worse than taxes.,1
JONAS BROTHERS - Live to party.                It`s rocking so hard,5
happy,5
would love to test it though.,5
Fun night!,5
The exception for a short dude: Larenz fineass Tate yum,3
I thought Wolverine was awesome.,5
Hopefully,5
Yes i work 6 to 3...,3
"Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",3
Done at the spa   now meeting vic for some late lunch!,3
Happy,5
Always have wanted to go to Oz,3
Thx,3
luv,5
that`s why I need to be there,5
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,3
If only we could ever actually be allowed to stay here and do that,3
Let me know how that turns out!!,3
was that sass I detect?  As long as it isn`t back sass! Haha,3
",ahaha",5
Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,3
I`m not sleeping at all un,1
"Seriously,",1
"I live for pain, bring it on",3
"okay, i`m out for a while  back later!",3
g What is this powerblog challenge you keep talking about?  I`m a newbie followe,3
died.,5
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,3
not going to well!,1
going to shower because i don`t want to smell at school tomorrow,3
Sigh... you know I am...,3
hopefully,5
Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,3
just got home from work.... and is chugging down a big bottle of apple juice.,3
g harmed,1
what an amazing day.,5
it was only once for my big brother...and I`m done now,3
good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,3
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",5
were amazing tonight..,5
hope,5
it hurts too much...,5
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",3
Hell Yeah!,3
HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,3
i know!!,3
huh what the ****? Smelly? Noooo. I love alex Vixon,3
GREAT,5
Happy b-day!,5
thank,5
HAPPY,5
glad,5
Thanks,5
twittering after 2 days!,3
Its too nice,5
depressed,1
sick.,1
Happy Mothers Day people. i love my mom a lot still,5
sorry,1
", he was soooo friendly.",5
happy,5
Is getting the hang of Twitter.,3
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,1
I want it BACK NOW!:,3
miss,1
"bathing with two little angels, Keyla and Janice.",3
chocked,1
HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,3
"Family is here,hanging with them",3
.it`s gorgeous out!,5
m worried,1
Im not bannished.,1
"Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",3
"red top tabloids, build em up, knock em down",3
tonight in party w/ my girls (minus vita),5
why not now you made me sad I thought you`d be jumping for joy,3
Simple my a#@,3
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",3
amazing,5
glad,5
I have missed them,1
"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",3
Hell yeah Kellynn got a Twitter. Finally.,3
as wort,5
better,5
Ship. I`m stuck.,1
Cannot wait,5
shame,1
,3
It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,3
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery,3
Definitely pinched a nerve.,1
exhausting!,1
"I was going to go on Sunday, but now I`ve got too much going on that weekend",3
Sorry,1
im sad it very hurts,1
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",5
I`m broke,1
Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,3
sore throat. Planning the TET outing to Marwell though...good times,3
it was amazin,5
now a migraine.,1
There!,3
?sucks!?..,1
whens the sway sway winner announced?,3
K will check it out...,3
"doing pretty well,",5
"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",3
I Miss Daddy and Mommy,1
officially depressed,1
I just realized that I can`t forward text msgs with my iPhone.,3
exciting!,5
That sucks!,1
bored,1
I am lost.,1
"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",3
bad,1
LMAO... Smh!  that one threw me off,3
oh nice going!,5
Is getting ready for work... Working all weekend,3
partying,5
i agree with you!,5
Am hopeless at everything else,1
perfect ma,5
thanks!,5
Sorry,1
I saw amazing heeels. But they were too big,3
stuck,1
dang,1
i missed all ur tweets,1
Damnit all. That sucks.,1
my boss. She`s moving to NYC,3
this is sooo crazy,1
some stupid ****,1
I think i need some new friends,3
Looking forward to your gig in Ireland!!!  See ya there!,3
Please Re,5
aww  you loooove me,5
"is hungry, twitter.  i want food.",3
awesome lucky you,5
"yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   ha",3
love,5
"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",3
No fun,1
u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for,3
I feel your pain.,1
comes home in two days,3
Sadly,1
Cant wait,5
ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,3
aww I miss driving,1
Omg Wango Tango was **** AWSOME! I love my baby for taking me,5
its very cool,5
wish,5
"yeah real hard, but I know you`ll get by with it... smile",3
that`s not good,1
This has made my night!!  Way too funny!,5
Happy,5
I make that same face when I get home and your mom is watching soaps.,3
I have to go to work now.,3
I can`t believe you went and got boba without me.,3
"And to you too, how are you today?",3
Thanks,5
19 days and counting,3
sorry  friends,1
BRAINFREEZE,3
Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,3
"My sunburn is peeling,",1
perky purple nail polish isn`t as perky when its chipped,3
"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",3
I don`t have no one to cuddle with..,1
hate,1
.sorry,1
dying,1
qood morninq,3
writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,3
needs more followers,3
stupid job,1
The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form,3
the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,3
Have a good on,5
"she is popular,",5
Dosen`t Want To,1
His voice is great.,5
i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.,3
was hoping to go to Red Lobster this weekend,3
lucky,5
I sure do hope,5
Congrats!,5
passed away,1
you are such amazing people!,5
cool,5
so no rice or crusty bread with the chili .... aawww,3
"We are of like minds this evening , my dear!",3
come and save me from my packing please?!,3
"Yes, I love tea.",5
a mouth for sure,5
I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,3
thanks!,5
s I just don`t entertain him :/,1
kill me,1
both electronic keys stopped working. there is no keyhole!,1
Good,5
poor tony,1
Goodmorning,5
I don`t really feel like,1
"I love mine, too . happy motherÃ¯Â¿Â½s day to your mom , John Taylor  . much love to you, too",5
Saw a black snake in the garden.  Went back for a picture and it was gone,3
best,5
No waterfront anymore,1
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,5
feeling like poop!,1
excited,5
then you cry ...,1
Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.,3
"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has",3
"If u do, please pray 4 me.  Lord knows I need it.",3
aaaaaw i want to live in the USA,3
Morning tweeple,5
"Hey, I didn`t get any !!!",3
#NAME?,5
"That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",3
I don`t want to sit at home,1
wishing,5
concert tonight  chackin out and not coming tomorrow!,3
what happened? I thought you were coming back today....,3
dammit,1
lol.,5
Still jealous,1
Me at Forever 21  Ethan couldn`t be there,1
SAD,1
not easy!,1
Wow what a beautiful pictur,5
Looks good,5
"'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....",3
"just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!",3
but you always have lee. Let`s go to Paris,3
a nice,5
having lots of fun,5
Bouncing Rush makes me feel nauseous,1
Lovely day for it,5
playing singstar without my fave duetter,1
i like,5
That`s just weird... :\,1
im a good daughter,5
That`s NOT cool,1
alwas helps.,5
"lacking,",1
cool,5
Good,5
i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.,3
swollen.,1
it was hours ago i came in.... and it`s only now i realised when i went to buy something online,3
oh just referring to our lil exchange on LJ with regards to twitter archive postings.,3
Don`t act like u don`t know.,1
best,5
! I`m scared of him,1
missing,1
mean!,1
"not doing so good,",1
"back soon, need to run to the shops and cut the grass",3
I`m up. I have a plan to transform my bedroom today. Random.,3
Missing,1
thats another sponsor,3
stuck,1
sad.,1
Sorr,1
is home alone.. Doing hw,3
live in poverty.,1
not going well,1
uploading all my bamboozle pictures of facebook,3
congratulations,5
I miss it there,1
"Woke Up,I Wanna Stay In My bed",3
wack.,1
"It would be great if those VIPS were for some acts I`d enjoy seeing, but noooo.",3
Wish I could make it too!!! I hate my commute sometimes,3
hopefully i can make some good tips,5
d there wasn`t a chance,1
Hates,1
Thanks for the support,5
there`s really no android twitter app of Tweetie`s calibre,3
lovely,5
Nyappy mother`s day to your mom`s.,5
yeah.... and im gonna take ur picture off my ipod baby..,3
traumatizing,1
lol same here....wish there was a way to microsize everything...lol,3
fail),1
glad,5
About to have dinner and then an evening of playing cards. Already packed and ready to head home tomorrow   Do we have to go home?,3
im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!,1
. Tomorrow will be tough!,1
miss,1
i`m glad,5
Thanks,5
i hope,5
"well,",5
nah jkin he`s hot! so... bored now,3
Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!,5
yes i have read them many times.,3
Cuz you play a grown up on Twitter?,3
i am living in ignorance,1
nope... it is telling you that you want cameo creams,3
AWWWW  we`re gonna miss you!,1
its a relaxing place,5
he couldn`t do it should have cost his part.,3
lovely,5
. Sorry,1
dammit,1
it was amazing,5
@ Barbs trying to figure out y the dsl aint connecting. I need my google. Going home to my computer if it don`t start working soon. SMH,3
sick and sad ..,1
Seems really quiet tonight...am jealous of those who are clearly having a more exciting life than me   Off to bed I think...,3
Really wishes he had some spare cash to buy the new Punch Out for Wii,1
not going,1
So sorry,1
I feel for you  I hope it`s a smooth flight. Be safe,5
Can`t sleep..,1
sad.,1
sweet dreams,5
hay wats ur AIM? we should chat,3
. Okay kool... I might be touring all summer long but we can make it happen!,3
PAIN.,1
"Time to watch OP, then some Dead Like Me, then sleep.",3
Having dinner with my grandma since I couldn`t be with my mum.,3
haha thanks  its for history and its on how the invention of television has influence america lol,5
yea so wassup,3
Stupid,1
Shopped til i dropped....come bac sunshine i miss u,1
Like,5
Thank you   I`ve had anxiety issues,3
Around 3 hours left until a 3 day weekend and I have waaaay too much work to do.,3
loved!,5
"there were attempts to somehow extend inner classes, which would be close to #closure, can`t find the ref ATM",3
Yes! Join us! All we require is a cupcake donation...,3
hard,1
terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!,1
Can`t access your site!,3
Sun is shinning.........at last,5
"slowest train ever,",1
nup no cd either.. just a whole bunch of zeros and ones you can have for free,3
My graduation day... And i feel like a failure...,3
ops   that lol wasnt supposed to got to twitter,3
I don`t think I`ve ever been so tierd in my life.U,1
What are u going to do today my girl?,3
why doesnt he want me anymore,1
bad hair day,1
headache,1
sorry,1
"I am just `okay-okay` .. like the rest of the sane population in the world, I hate mondays",3
mozart`s requiem!,3
"i think i am a bit, in love with his creations and wit but not that physically attracted to him although he has great style",3
thanks for another great day!,5
huh?,1
"OHSHNAPSSS. is she pissed at blair as usual ? hahah. & yeeeah, i bake cookies",3
no bueno.  hollykins needs to feel better asap.  p.s. i miss you.  you done with uni soon aren`t you?  SOPROUDOFYO,3
awesome,5
happy,5
<---My expression watching this again: http://tinyurl.com/eqbwe,3
Stupid,1
I didn`t want to tell you but I think it`s your body odour,1
nice beta for easports still no news on the online for madden,3
bad,1
missed,1
Unfortunately,1
fun,5
Discrimination is not a bad thing.,5
sure i can talk....the fabulous **** part though is out  sorry dear,3
"tease,",1
Just got back from working out. I`m feeling pretty good.,5
Ahhh My Satz blend didn`t save,3
"So!!! Why should that matter? I bet you would be GREAT at it! I do!!! It`s what you love, right? Why not go for it!",5
Thank the heavens.,5
My ear are popping.,3
bad,1
no answer back.,1
Catching up on 2 weeks of LOST and Grey`s!!    House is quiet again.,3
me smile.,5
I`m kinda o sick n tired,1
boo.,1
hey Phillll! Wazzuppppp?!,3
missed out,1
.great.,5
"finally gone to the beach, yeaaaah!",5
awesome,5
"last weekday of doing nothing, school starts next week!!!",3
Gorgeous GIRL!,5
hysterical,5
"ok, i have to turn off all of my twitter device updates until i get a new battery. phone goes from fully charged to dead in about 5 hours",3
michelle is a hot mama with chichis grande,3
you do rock that much,5
no one I know likes boiled peanuts t.,3
loved,5
ugh! These **** tonsils.,1
Please get a cell phone with a better camera on it... your pictures are real bad quality compared to those that Miley took,3
"bless,",5
good fun,5
lost,1
though that isn`t going so well.,1
Hoooray!  I`m hooked already,3
good,5
I agree. Everybody would`ve been excited and then it goes... ohhhh nooooo..... MS screws up again..,3
Edge left me off the contributors list in this month`s issue.,3
"ooo Growl and Yummy time coming soon for you too huh oh yeah, I have been hunting for a combo tshirt, think I can find one?  NO",3
im back to this z-index problem...again,1
so bored at work...,1
hating,1
www.myspace.com/fashionisthenextcity  check out and started new tee`s  limited edition in different ways !! check facebook group too,3
'They' being the husband or the girl?,3
Thinking of what I should do in Vegas??? Any good ideas or places that are a most see!??,3
sucks!!,1
Hi to one kiwi artist from another kiwi artis,3
Happy Mother`s Day,5
oooo ok   why  havent you accepted my friends reque,3
sorry,1
no,3
love good causes,5
Not available in my area,1
Its Friday! Only 5 more hours until I`m free!.....until tomorrow.  oh well,3
meeting just in time that iÃ¯Â¿Â½m trying to win something  prize`s friday!,3
cramps,1
thank you,5
"`s plans didn`t go as followed, but its ok",3
_what_ did you do?  Let me guess... you skipped sports and bought a new pinkish outfit?,3
where is the rain please come out,3
My pleasure,3
FML,1
"funny,",5
grouchy,1
worse.,1
I don`t have the app that does it,3
would help me study for the aptitude tests,5
out for supper tonight with kurumi in 10 minutes,3
cute.,5
Loved,5
hi mariah,3
_Yours13 I`m not at home with my cats right now!,3
my inbox is still empty,1
I`m such a rebel!,1
.i`m sorry,1
nice,5
Exam 1 today. Going to get my license renewed  The birthday is getting closer!,3
love!!,5
Thinks its gonna rain,3
good.,5
"Yrbook signing w/ evryone was fun, I`m gna miss evrything",3
lost,1
so not close enough that I could run out and get one,3
That was stone cold   Crazy.,1
totally having austin powers withdrawl symptons and Darrius withdrawl symptoms and mommy and minne withdrawl syamptoms.,3
they were so pretty,5
Senior`s last day.,3
.no one will help me,1
thanks,5
Thanks,5
"- we`re getting closer rather than further from REAL lobby dates - Chicago, BlogHer09 - squee!!!",3
Has lost his vocie and Adele is laughing at me LOL and still wondering why I`m in college on me week off,3
oh sorry! not getting all my replies  nothing against you.,1
"Pray for my Uncle,",5
"! Gonna scare Rachel with Quarantine tonight, this shall be fun",3
omg i wanted to slap her.,1
watching the simpsons,3
very special`s,5
great,5
"Has work very, very soon. Way too soon!",3
phaket.  what did anneliese want to do?,3
mad,1
Thanks,5
I`m hungry  wife is at a Bodyshop Party and is bringing a takeaway home with her - how much longer will the party go on?,3
Such a pretty baby!,5
Invite them to your house instead,3
I`m a bit Ben`s Thai-ed out,3
#stackeoverflow,3
cute..,5
Dead stopped in the express lane. This would happen when I choose to take it. No way out now. Ugh. Hopefully this gets moving,3
_OKeefe Yay! You`re on Twitter! You`re my secret celeb crush!  (too much info??),3
k  thank,5
fail at life sometimes.,1
WISH,5
*points at the gear question I just posted* I cant get the rest of my Dreadweave set,3
"You remind me so much of a Omaha Girl, that I use to date.  I guess it all in the Jeans, (Calvin Kleins is what she wore).",3
. He gives Twitter tips. Hope this helps,5
I loved him,5
... LOL Than,5
gorgeous!,5
I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work,5
My laptop grew speakers. Now I can watch Charlie with the sound on,3
rofl uh huh,5
funny!,5
"doesn`t that look fab,",1
deadlines!,3
terrible,1
irrelevant.,1
I`m too sick to go outside,1
good,5
excited,5
we won`t be home till like next month,3
"love,",5
bad,1
screwed,1
just got laid off. Lots of people becoming unemployed,1
e bestttt,5
easties you can go there anytime,3
like,5
"lemme guess - you ran 5 miles at the gym, and are waking your kids up, and then going to the beach and / or recording studio?",3
i never knew a dentention was so hard,1
fun,5
my nail broke  I haaaaaaaaate,1
IS disappointing,1
yep,3
Love,5
. I hope Avalina isn`t a dud!,1
Anyone want to buy me this anthropomorphic planter? http://tinyurl.com/m6sru3 Only available till the 31st,3
"It`s a beautiful day outside today, shame I`m stuck in the office with the blinds shut to stop glare.",3
Woke up and there was sun! And then it started to rain,3
and  the Creative VADO`s are out of stock at walmart.com (missed it)  but thanks for tweeting about,3
hates,1
Lovely,5
Flap-a-taco was nice until the plebs came in.,1
celebrate,5
"am chillaxin after a busy BankHoliday, Hope everbody had a gd wkend! Holiday in 12 days!!",5
better,5
wow-you ride HARD!,5
check out the flyer i designed for the notary and retrograde: http://rachellovespeace.blogspot.com let me know what you think,3
Thanks! Welcome back!,5
t sucks,1
sore head,1
"at the office, trying to solve the mystery of whose blood is that in the  bathroom toilet.... eewwwww",3
awwww..I love him! His car was soooo CUTE tonight!! I love me some Carl..My 10yr old is sad now..LOL..,3
Bryan hasn`t replied about wingnuts,3
Watching southpark for another 20 minutes,3
e`s amazi,5
LMAO...Ha!,5
stupid,1
Tried on all the shoes in new look,3
its too early  i wanna go back to sleeep,3
"I don`t think I am, my sisters refusn to get me a ticket now.",1
oh wow...hope he`s ok  u take him 2 the vet?,3
"He died.  Wait, what about Magic Jack? I just read it.",3
i`ve just woken up,3
love,5
one of the greatest dinners ever:,5
nooooo its raining..,1
Shower. Class. More class. Taking care of my lady-friend.,5
great,5
great,5
"Goodmorning twitter, oh my gosh, i woke up soooo nice, lol ... oh hai thar twitterverse. Happy #mothersday everybody",5
i LOVED,5
Hubby went to pick up  my Fringe comics today @ store by his work. THAT store was out of business too. No comix in Houston. Have 2 Web.,3
The World is just amazing!,5
i am completely lost.,1
@ gadgetopia need to DM you but you`re not following me.   Will send email.,3
cute!,5
got my cable set up! WIN!  got my lock put on my door! WIN! feeling a tad neglected... FAIL.,3
silly,1
just had a great talk with grace about how awesome God is and how he works...that somehow started with how remote controls work,5
beasted,1
I`ll be listening!,3
oh no....u don`t have to hit him up. He had a family emergency so there was a lil delay. Just can`t wait to see them,3
sitting at home doing nothing. gonna be like this all weekend,3
UNSALVAGEABLE,1
flew Brisbane - Lax today.  Great flight.  Love the lights.  Shame about one drink limit thoug,3
I think i should go to sleep considering i hav to b up on 3hrs....,3
If I told you how often I wash my hair you would never speak to me again,3
ended up inventing my own.,1
seems to have disappeared out of my life,1
"HAPPY MOTHER`S DAY to my Mom, and every Mom everywhere.  Off for a stroll at the Beaches later--hopefully...",5
ohhh i wanna go  gahhh but i dunnooooooo :S me confuzzzledd should i or not???,3
haha!,5
best,5
"****,",1
aww,1
nothing fair,1
I am going to see how long I can do this for.,3
"You better come here by the time I count to 10 or else. 1, 2, 3,  BAM!!!!!",5
PRD take a long time to review!,3
"well,",5
i`m going to fail this final.,1
", Thx",5
how sad! are you saying that I`m fat?  *tears*,1
why thank you. I might just take you up on your offer,3
can`t find it anywhere!,1
i have a major headache,1
ch fu,5
Mitchel you have no idea how much I want to call you!! but it costs loads to call from england!!!,3
"Stupid me,",1
very relaxing,5
yessir that is 100% right,5
Night!,3
GREAT,5
sad.,1
Too warm!!!,3
Ada acara menarik lain: Keys to the VIP di channel V. Ttg straight yg dikasih tasks to approach strangers in the crowd.. Hmm,3
well hit me and we can see...it depends then,3
thanx,5
very cute,5
good,5
shower time!!!!!,3
COOOOOOOOOL... DOOOOOOOOOWN... Patience... Is... Virtue...,5
